Region;English 2019;English 2020
Вінницька область;144.2816091954022989;146.2830926594464501
Волинська область;149.5349383440986494;148.9823588709677419
Дніпропетровська область;143.0190945488142901;144.7807594936708861
Донецька область;140.4153074027603513;141.4626119010005266
Житомирська область;143.7922077922077922;144.3374074074074074
Закарпатська область;144.6187134502923977;146.0160075329566855
Запорізька область;142.5653166001140901;144.5391959798994975
Івано-Франківська область;147.4249775381850854;150.5200823892893924
Київська область;142.9440780040149125;145.9658249891162386
Кіровоградська область;144.6634980988593156;145.6853801169590643
Луганська область;139.0899082568807339;140.0398523985239852
Львівська область;150.2500356379187455;151.8716735659373152
м.Київ;155.5689093188466360;155.1337792642140468
Миколаївська область;141.5246913580246914;142.3984608807182557
Одеська область;143.7979300147856087;144.9673052362707535
Полтавська область;146.2589508742714405;146.6050035236081748
Рівненська область;144.8337028824833703;147.8226232394366197
Сумська область;143.7114014251781473;145.8170478170478170
Тернопільська область;146.5700400228702115;149.9585398828301037
Харківська область;146.7976888293418188;148.1427438540840603
Херсонська область;141.5509609784507863;142.9080767514502454
Хмельницька область;145.4608233731739708;145.9051383399209486
Черкаська область;144.2741312741312741;147.0854017669331090
Чернівецька область;150.1395833333333333;149.6752011704462326
Чернігівська область;144.1514657980456026;147.7926177756192326
